ds,hour,station_key,guests_count,version,required,actual,diff,status
2026-04-29,14,BVR,26,будни/осн.,1,1,0,exact
2026-04-29,14,C,26,будни/осн.,1,1,0,exact
2026-04-29,14,FF,26,будни/осн.,1,1,0,exact
2026-04-29,14,K,26,будни/осн.,2,2,0,exact
2026-04-29,14,TS,26,будни/осн.,1,1,0,exact
2026-04-29,15,BVR,70,будни/осн.,1,1,0,exact
2026-04-29,15,C,70,будни/осн.,2,2,0,exact
2026-04-29,15,FF,70,будни/осн.,1,1,0,exact
2026-04-29,15,K,70,будни/осн.,4,4,0,exact
2026-04-29,15,TS,70,будни/осн.,1,1,0,exact
2026-04-29,16,BVR,71,будни/осн.,1,1,0,exact
2026-04-29,16,C,71,будни/осн.,2,2,0,exact
2026-04-29,16,FF,71,будни/осн.,1,1,0,exact
2026-04-29,16,K,71,будни/осн.,5,5,0,exact
2026-04-29,16,TS,71,будни/осн.,1,1,0,exact
2026-04-29,17,BVR,66,будни/осн.,1,1,0,exact
2026-04-29,17,C,66,будни/осн.,2,2,0,exact
2026-04-29,17,FF,66,будни/осн.,1,1,0,exact
2026-04-29,17,K,66,будни/осн.,4,4,0,exact
2026-04-29,17,TS,66,будни/осн.,1,1,0,exact
2026-04-29,18,BVR,38,будни/осн.,1,1,0,exact
2026-04-29,18,C,38,будни/осн.,2,2,0,exact
2026-04-29,18,FF,38,будни/осн.,1,1,0,exact
2026-04-29,18,K,38,будни/осн.,2,2,0,exact
2026-04-29,18,TS,38,будни/осн.,1,1,0,exact
2026-04-29,19,BVR,34,будни/осн.,1,1,0,exact
2026-04-29,19,C,34,будни/осн.,1,1,0,exact
2026-04-29,19,FF,34,будни/осн.,1,1,0,exact
2026-04-29,19,K,34,будни/осн.,2,2,0,exact
2026-04-29,19,TS,34,будни/осн.,1,1,0,exact
2026-04-29,20,BVR,27,будни/осн.,1,1,0,exact
2026-04-29,20,C,27,будни/осн.,1,2,1,over
2026-04-29,20,FF,27,будни/осн.,1,1,0,exact
2026-04-29,20,K,27,будни/осн.,2,2,0,exact
2026-04-29,20,TS,27,будни/осн.,1,1,0,exact
2026-04-29,21,BVR,22,будни/осн.,1,1,0,exact
